Time,Score
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
4.08,2
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
3.4,3
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.42,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
4.22,1
